IID	PC1	PC2	PC3	PC4	PC5
tsk_432	-4.297054	1.0708714	-4.915076	-2.5645568	-1.1195527
tsk_434	-4.3253055	1.3953526	-0.45815262	4.1832194	0.04140014
tsk_435	-3.6221733	5.1662345	-0.68940103	-3.3092933	1.0295656
tsk_437	-5.070641	-1.7188386	-4.7855916	2.642625	-0.4250378
tsk_440	-2.5026891	-3.2341337	-5.1420445	-0.17469156	-1.045712
tsk_441	-5.317244	2.1324098	0.11128881	3.544363	-1.2329127
tsk_442	-4.088244	0.5480934	-1.2342383	-1.7947167	-1.2377715
tsk_444	-3.0829315	-0.98048556	-1.2073872	2.8422046	-2.0066078
tsk_447	-4.067815	0.7788161	0.86922413	-0.5166095	1.4805055
tsk_449	-3.581783	0.6854859	-3.3561106	-2.6083536	-1.3268195
tsk_451	-4.57557	5.0953526	1.3544755	0.34746617	1.8542838
tsk_452	-2.5201616	-1.535158	-2.3272164	1.1227298	-2.8311532
tsk_454	-0.33253142	-4.755872	1.5411718	1.0435796	1.5263879
tsk_455	-3.4254525	3.8037872	4.2135186	1.5206407	-0.0654017
tsk_456	-3.8490248	1.0149902	0.41969976	-3.1247647	-1.7105575
tsk_459	-1.660586	-0.54916954	-4.26233	-1.3692384	1.2781408
tsk_461	-4.9606547	1.393501	-3.6440167	0.58216614	-0.62721866
tsk_463	-1.4274374	1.9089227	-1.8182241	2.2887697	3.1129804
tsk_464	-1.3376858	1.5622094	-0.05181236	1.3294426	-0.24586178
tsk_465	-3.5123138	1.4407635	2.1231024	3.4871547	-2.5602746
tsk_466	-2.9759772	-2.1193583	-0.5378896	-2.1893656	-2.2669146
tsk_467	-4.97027	4.06796	-1.3265452	-1.250586	4.547298
tsk_468	-4.832681	0.5481484	1.7904412	-4.328397	0.5970573
tsk_471	-0.9515855	-1.1234187	-2.4051838	-0.56360567	-1.8297964
tsk_472	-4.9421473	2.3573594	1.2085341	-1.3186064	1.8228288
tsk_473	-1.656738	-2.5025783	-1.2512994	0.8500611	-1.8556145
tsk_474	-2.8239634	-0.20009308	-0.7807427	5.3066278	-1.7858423
tsk_476	-2.8646243	-1.9560592	3.0142028	2.2290318	-4.5855303
tsk_479	-5.7900486	3.9340758	4.212557	-1.4043081	-1.5287586
tsk_480	-2.1599746	-1.1355528	-3.4854937	-0.14085966	2.2370694
tsk_481	-1.6394414	-0.11970092	1.2634339	-1.7009751	1.368033
tsk_482	-5.926879	2.8386722	-1.1991726	0.23568198	-3.9510155
tsk_483	-4.068073	-2.0691571	-1.619472	-1.3812448	-3.0685623
tsk_485	-4.4406133	-0.97556955	4.1334176	0.17310727	-3.295935
tsk_491	-4.846429	-0.35302162	3.460755	-0.67834675	-3.569744
tsk_494	-4.9004154	2.0730295	4.264988	0.98585165	-3.4939077
