IID	PC1	PC2	PC3	PC4	PC5
tsk_431	-1.1187787	0.80792046	-0.4424845	1.9880698	-1.125476
tsk_432	1.9087822	-1.5224825	0.9088952	1.104306	-0.040646527
tsk_434	-1.5891422	1.404758	0.9397238	1.7256727	-2.0482988
tsk_435	-3.1932726	0.32655054	-1.1856903	1.8449414	-0.8681515
tsk_437	-0.4092792	-0.67129076	0.87825155	-1.886964	1.6708623
tsk_440	1.5819936	-0.050732613	1.691853	-0.013494861	-0.79522365
tsk_441	2.9800327	1.7720152	3.8411403	-1.5244156	0.07717463
tsk_442	-2.5277286	-3.5048134	0.6893376	0.64368665	-1.6263995
tsk_444	-3.0161607	-2.2152321	1.2839415	-2.3827837	-1.0703723
tsk_447	-2.9557397	-2.8030648	-0.20701464	-2.3505075	0.35221916
tsk_449	0.56724966	0.37961903	3.128245	1.7958473	-0.2581695
tsk_451	-0.8081177	1.2053194	2.1925645	-0.5098971	-1.3015103
tsk_452	-0.2825104	2.0865045	1.0608981	2.0537882	-1.7493722
tsk_454	-1.511036	-1.6459584	-0.22502	1.327332	-0.26264924
tsk_455	-0.5791821	3.4282668	-2.8474503	-0.21993022	-1.1463919
tsk_456	-0.35783517	-0.4351221	2.4117842	0.14960401	0.12806222
tsk_459	0.1468197	2.5649002	1.5745306	0.978378	-0.19483872
tsk_461	-0.62250406	0.9437856	0.978075	1.2984848	-2.558061
tsk_463	1.6228327	0.17099676	-1.5461015	-2.7033107	-0.3258828
tsk_464	1.9410167	0.91929996	2.89955	-1.5889626	2.1744137
tsk_465	-2.1918826	0.9984459	-0.34942514	0.9677955	-0.82339585
tsk_466	-0.6879679	-2.1967847	1.8280351	-0.25855476	-1.6030178
tsk_467	-2.4183629	0.85985386	-0.30589762	-1.108263	-1.623836
tsk_468	-2.1153836	-3.1597867	-0.4624988	-1.0741891	-0.6840116
tsk_471	-0.62418383	2.7153533	0.8641101	1.9240294	1.8005149
tsk_472	-0.4322654	0.95121473	-1.341196	-1.0056893	-0.04608232
tsk_473	-1.7417958	-0.21215543	-1.3724972	-0.78760546	1.041864
tsk_474	-2.1213245	4.1611547	-1.2115864	-1.1969234	1.7416524
tsk_476	-2.9336286	-1.4340446	0.76963943	1.4636427	0.2395125
tsk_479	0.5749411	1.0902343	-0.2223943	-0.15712693	-0.27401432
tsk_480	-0.07704949	-0.046962205	1.278483	-1.8117586	0.24488951
tsk_481	-2.1439009	0.12603712	0.7516243	2.1733854	-1.3672788
tsk_482	-1.8160015	2.9321792	-1.6517518	2.4486485	0.2980506
tsk_483	-2.4509773	-0.7905981	-0.10391276	1.930905	-1.9453378
tsk_485	-0.2353212	-1.3043219	1.9645418	-2.1936383	-0.5441014
tsk_491	-1.0057571	2.8388455	0.89178103	1.2838664	-0.43861502
tsk_494	-0.1536751	-0.77234155	1.1930163	-1.9060335	1.8983316
tsk_497	-1.4243817	2.3608515	0.52885956	1.0115867	0.7666785
tsk_502	-2.3402293	-1.3811358	1.6991849	1.3403386	-3.600958
tsk_503	-1.4285961	-1.8429673	1.2395597	0.20577125	-2.9517937
tsk_505	0.6683302	2.281636	0.38141724	0.6423376	-0.63559264
tsk_514	-2.8285758	0.84341675	-0.02715542	0.22382583	-1.0331931
tsk_523	-0.9643622	5.3350654	-0.5421015	-3.2582598	-0.9894026
tsk_524	0.14050464	1.8602871	1.0343664	2.255311	1.7460071
tsk_526	3.9278412	0.8581259	3.2964053	0.06034651	1.5083847
tsk_527	-1.2560496	-1.1353047	-1.0391678	0.96671426	0.77116674
tsk_528	0.5486917	0.4710674	2.6969743	-1.0260375	0.23360251
tsk_530	-0.5507234	0.8777065	2.6075811	-1.9466902	1.4623371
tsk_531	-1.4630394	1.289095	0.15970328	-1.8888177	-0.30026236
tsk_535	-2.3313243	1.5340103	-0.05533365	2.902125	0.48166582
tsk_536	-1.0355436	0.009160675	-0.12118303	2.278475	-0.54868764
tsk_545	-0.9286603	3.4712665	1.5268618	0.36245608	-0.4562424
tsk_557	-2.247291	0.25568187	0.10741118	-4.083682	-0.68564236
tsk_559	-2.4503295	-1.9792544	-0.12035635	-2.7596607	0.5495804
tsk_560	-2.6742895	0.43994457	-1.3781072	0.308715	-0.029819068
tsk_562	-2.4778132	2.5746427	-2.4733994	0.23185824	-0.79538876
tsk_564	3.7071815	1.4613833	3.1968484	-2.1987062	1.1920937
tsk_572	1.0703015	0.4292298	2.7171605	-1.4264457	0.6216228
tsk_573	2.2885842	-0.26118672	-3.7503643	0.38901144	-0.2535958
tsk_577	0.89554954	-0.3085509	2.1800926	-0.7611619	-1.0398066
tsk_579	-0.57913065	0.41057792	-0.69951457	0.30341357	1.825393
tsk_581	-2.6896732	0.117288806	-1.1855338	1.3698637	-2.5734165
tsk_584	-2.5415554	0.19544578	-1.4585143	-1.4288702	-0.5907451
tsk_589	0.09676673	0.2089152	1.7878164	1.1922206	0.6586934
tsk_591	-3.5831742	-1.9661905	1.4880003	0.5911749	0.21268296
tsk_598	-1.5739498	-1.5167023	1.6689838	1.341155	0.17354102
tsk_602	4.145548	-0.70321244	-1.0595678	-1.7891017	-0.40846497
tsk_610	-0.63912094	1.2714832	-0.9580677	-1.354795	-0.557207
tsk_611	-1.1434159	0.38752165	2.9162798	-0.076623015	-1.4622265
tsk_616	1.9725237	3.0995438	1.8919376	1.9482548	0.95294493
tsk_619	-2.957756	1.1106315	-0.3337134	-0.06429881	0.45441195
tsk_620	-2.0641491	3.543573	0.18760337	2.1054053	-0.4185293
tsk_621	1.5725129	-0.14079109	2.8365738	1.518308	-2.7249277
tsk_635	-0.86295927	0.32626942	0.9711812	-2.3714743	-0.21359785
tsk_638	-3.4814951	0.631078	0.2481589	0.6948146	-0.6575267
tsk_641	1.0863233	3.147384	2.3797956	0.47273844	0.11806278
tsk_672	1.5746033	0.075447716	-2.6088498	-3.844284	-1.260043
tsk_680	2.0292304	0.2905856	-4.273421	0.8444461	-0.27570844
tsk_682	1.2673091	0.94495785	3.8972282	1.1920412	2.144587
tsk_683	-0.33000615	-0.42411807	2.0678113	0.6941934	0.7491415
tsk_693	1.4230903	0.25764897	1.7349961	1.6449795	0.71851367
tsk_694	0.3549823	0.35425848	1.2926884	-1.9353573	-0.12957855
tsk_704	-1.4985266	3.8402472	-1.7441974	1.2357876	-1.9351103
tsk_707	2.44145	-1.4295889	0.9022106	-0.8813497	-1.461573
tsk_718	-0.3529111	-3.608344	0.56949323	1.3867059	-1.6149371
tsk_724	-2.071043	-1.0407643	-0.9418421	0.87971103	1.0865414
tsk_748	-3.0014915	0.20748949	-0.85940605	1.0735712	1.2291455
tsk_749	-1.6387286	-2.6851604	-0.17432441	-3.1179574	1.3480717
tsk_751	4.603056	-2.2199578	-0.35815227	1.8306317	-0.39908883
tsk_752	-2.4033551	3.7925048	-1.1434782	-0.5168081	1.1514887
tsk_756	0.4923239	1.6771749	0.33758676	-1.9426138	1.694593
tsk_757	3.7265973	-1.8810825	1.0770826	1.440651	0.3487745
tsk_759	0.25335318	1.9180218	0.34632146	2.0734308	1.4762937
tsk_767	1.0807714	-0.049127806	1.8692706	1.5405568	2.2045853
tsk_776	-0.9910134	4.043392	-0.8616524	-2.2578642	0.7434536
tsk_777	-1.1201894	-2.4932237	-0.13941704	-1.247197	2.13322
tsk_778	1.3105772	-1.244564	1.3156716	1.6935543	-2.3679469
tsk_785	0.12771156	-2.8804526	-1.1352668	1.1232529	-0.8035058
tsk_787	-0.9923527	-0.20373763	2.3039129	-0.6771507	-0.27069962
tsk_794	-0.49845654	0.7948083	-0.9589367	-0.25634736	-1.187608
tsk_795	2.041946	1.0760483	3.1702936	-0.15898831	1.433258
tsk_797	3.4184706	-0.22910814	2.2234411	-0.5608392	0.33372307
tsk_799	2.6286085	1.511562	2.7386236	0.31498995	-1.074367
tsk_1242	0.7822684	-0.81414145	2.2328446	1.6809012	-1.8010172
tsk_1263	1.6637666	-2.0992353	1.3187793	0.7156992	-0.0998865
tsk_1267	1.6533408	0.72818065	2.9648347	-1.8283926	2.2356856
tsk_1282	0.76264274	1.8553586	0.38295287	0.9940622	1.7880954
tsk_1316	-1.326167	-0.45852587	-1.0215483	1.5473796	0.3813171
tsk_1324	1.755377	-2.0602741	-0.12578976	-0.41381088	2.0974512
tsk_1328	-1.5949867	-1.4453764	2.3322175	1.0073105	1.1554557
tsk_1329	-1.0123541	2.00637	-1.8081089	2.4991648	-0.15862891
tsk_1331	-1.2704086	-1.7424028	2.4039195	1.2791009	1.3909992
tsk_1333	-1.1714202	-1.2129695	1.7936469	0.060753886	1.9996084
tsk_1350	-0.74204	0.58605164	0.37048808	1.4484541	0.54542774
tsk_1382	1.294684	1.9071374	1.3040951	1.6219677	1.665506
tsk_1383	-2.0549803	-0.58241075	-1.4976649	-0.8277057	0.8223569
tsk_1389	-1.1104022	-2.3480442	1.0934068	1.0036771	2.6672263
tsk_1395	-2.681437	-4.47677	-0.26141664	1.6138152	0.28805894
