IID PC1 PC2 PC3 PC4 PC5 POPULATION
tsk_422 -3.5916865 2.2396042 2.2072833 -0.018018559 -1.3677703 ADY
tsk_424 -3.714366 5.257976 -2.441269 6.9796863 2.3749642 ADY
tsk_425 -7.029538 0.16249578 0.65470654 -4.315095 5.0835104 RUS
tsk_426 -5.4036055 -4.6989436 -4.7631316 4.4226046 5.3484178 RUS
tsk_428 -5.4687047 -3.3690627 -0.17585735 1.5881423 4.099036 RUS
tsk_430 -4.6323133 -0.54507005 -3.83908 7.98586 6.3996572 ADY
tsk_431 -6.716205 -6.494936 -4.019754 0.020552585 5.862989 BAS
tsk_432 -6.5369716 -5.3642607 -5.342307 3.0048356 0.7984222 FRN
tsk_434 -6.35661 -3.3164468 2.419547 2.3813963 1.0987054 FRN
tsk_435 -5.0210447 -3.9624045 -0.8599109 -3.4991379 4.82295 FRN
tsk_437 -8.475294 -2.3856137 -2.0805874 7.645944 -1.472514 FRN
tsk_440 -6.0336385 -2.4630494 -5.700739 5.636544 1.1253194 FRN
tsk_441 -6.309614 -4.9755974 2.6421726 -0.07029794 3.6730742 FRN
tsk_442 -6.9289684 -1.901732 -0.4283073 -3.5058627 3.3023663 FRN
tsk_444 -6.2546964 -3.5776343 -0.025527341 1.2831455 -2.8600585 FRN
tsk_447 -6.6329446 -0.51221406 0.8297822 -2.4747195 1.6255908 RUS
tsk_449 -5.4218874 -7.0079694 -4.5684814 2.103476 -4.8393984 BAS
tsk_451 -5.8749185 -2.5458827 1.9846945 -1.253868 8.753446 RUS
tsk_452 -4.9707794 -4.0937147 -4.543942 0.9885691 2.7346687 FRN
tsk_454 -3.151701 5.30287 2.009723 1.133429 4.0574064 RUS
tsk_455 -4.744096 -5.036936 2.6252496 -7.6203694 3.1840074 FRN
tsk_456 -7.130478 0.09853728 0.6531987 -1.1821474 -0.2389563 ADY
tsk_459 -3.8860965 -1.9556106 -4.929456 6.5069594 2.503374 ADY
tsk_461 -6.489876 -4.389998 -1.5463187 3.0010793 -2.8958473 ADY
tsk_463 -4.3821797 -0.59996367 0.35966507 0.46087173 7.2835517 RUS
tsk_464 -3.551668 -4.995807 -0.17727521 -1.6063094 0.9721749 BAS
tsk_465 -5.8534136 -1.3883181 4.668647 -3.6919353 3.3874235 RUS
tsk_466 -5.911719 1.7334056 1.0618896 0.008974381 -3.733947 ADY
tsk_467 -6.446335 -2.9622488 -0.21839917 1.4313194 4.6650534 RUS
tsk_468 -6.590288 -0.5292605 1.6806669 -2.0178316 3.0037475 ADY
tsk_471 -2.4251947 -1.3527662 -1.556128 0.86791176 3.65937 ADY
tsk_472 -6.9439335 0.6601756 0.77464825 -1.4832854 6.276436 RUS
tsk_473 -4.7313395 -1.6690933 -4.1903596 1.2001079 0.10363326 RUS
tsk_474 -4.029824 -3.8690488 2.9225345 3.7835548 -0.5254943 FRN
tsk_476 -6.4092026 0.09465248 4.1539097 -3.538798 2.1018708 RUS
tsk_479 -5.6467285 -1.8282303 4.4775715 -7.6502824 0.4726135 RUS
tsk_480 -4.813684 -1.2643017 -2.7779744 5.5577583 -1.8343208 SAR
tsk_481 -4.786049 -0.2734987 0.8304543 -1.4890336 3.7533922 RUS
tsk_482 -6.9661436 -6.9192104 -2.552374 -4.082353 -2.6624482 SAR
tsk_483 -4.3451676 -0.18489522 -1.3736055 0.63626623 -1.3545588 FRN
tsk_485 -6.127157 -0.30426228 4.8088956 -4.6431026 0.5382322 RUS
tsk_491 -5.5493712 -2.27764 6.7161775 -3.6129928 -0.20519952 ADY
